,id,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,is_new_listing,is_super_host,reviews_scores_location,max_nights,min_nights,monthly_price_factor,name,person_capacity,picture_count,price_string,property_type_id,response_rate,response_time,review_count,reviews_scores_rating,reviews_count,room_type,reviews_scores_star,reviews_scores_value,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,paikkakunnat
37,31606666,10.0,1.0,1.0,0.0,4.74,1.0,1.0,1.0,1,CANCEL_MODERATE,10.0,Helsinki,43,10.0,10.0,0,0,10.0,1125,2,0.0,Business Deluxe Apartment next to Central Station,4,13,129,1.0,100.0,within an hour,105.0,95.0,27,Entire home/apt,5.0,9.0,105.0,0.0,16,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Itä-Pasila
38,37905256,10.0,1.0,1.0,0.0,3.98,1.0,1.0,1.0,1,CANCEL_MODERATE,10.0,Helsinki,20,10.0,10.0,0,0,10.0,1125,1,0.0,Home in Ullanlinna,4,6,79,1.0,100.0,within an hour,105.0,95.0,49,Entire home/apt,4.0,9.0,105.0,0.95,11,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Kamppi
39,42545597,10.0,1.0,1.0,0.0,,1.5,1.0,1.0,1,CANCEL_MODERATE,10.0,Helsinki,38,10.0,10.0,1,0,10.0,1125,2,0.0,Stylish 1BR apartment in Kamppi Center with Sauna,4,16,115,37.0,100.0,within an hour,105.0,95.0,2,Entire home/apt,,9.0,105.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Vilhonvuori
40,33603361,10.0,1.0,1.0,0.0,4.78,1.0,0.0,3.0,1,CANCEL_MODERATE,10.0,Helsinki,16,10.0,10.0,0,1,10.0,1125,1,0.0,Loft studio in best location!,3,8,89,35.0,100.0,within a few hours,105.0,95.0,113,Entire home/apt,5.0,9.0,105.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Kamppi
41,26240541,10.0,1.0,1.0,0.0,4.49,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10.0,Helsinki,5,10.0,10.0,0,0,10.0,1125,1,1.0,Home away from home easy access to city centre,2,11,39,1.0,100.0,within an hour,105.0,95.0,84,Private room,4.5,9.0,105.0,1.0,11,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Ala-Malmi
42,43030513,10.0,1.0,1.0,0.0,,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,10.0,Helsinki,0,10.0,10.0,1,0,10.0,1125,1,0.0,"Welcome to our clean , bright place",2,6,26,40.0,100.0,within an hour,105.0,95.0,0,Private room,,9.0,105.0,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Linjat
43,25399185,10.0,1.0,1.0,0.0,4.84,1.0,1.0,0.0,1,CANCEL_MODERATE,10.0,Helsinki,27,10.0,10.0,0,1,10.0,1125,1,0.0,"Centrally located, spacious studio with park view",4,5,96,1.0,100.0,within a few hours,105.0,95.0,128,Entire home/apt,5.0,9.0,105.0,0.9,16,217,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Herttoniemenranta
44,41781809,10.0,1.0,1.0,0.0,,4.0,1.0,2.0,1,CANCEL_FLEXIBLE,10.0,Helsinki,0,10.0,10.0,0,0,10.0,1125,1,0.0,2-х местный. №1. · Hotel-hostel INNTOURIST in the CENTER of Helsinki,2,17,55,45.0,100.0,within an hour,105.0,95.0,0,Private room,,9.0,105.0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Kumpula
45,17834020,10.0,1.0,1.0,0.0,4.55,0.5,0.0,1.0,1,CANCEL_FLEXIBLE,10.0,Helsinki,11,10.0,10.0,0,0,10.0,1125,1,0.85,"Disinfected well, small Kalevankatu studio",3,19,107,1.0,100.0,within an hour,105.0,95.0,326,Entire home/apt,4.5,9.0,105.0,0.9,11,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Hernesaari
46,20977238,10.0,1.0,1.0,0.0,4.68,1.0,1.0,1.0,0,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10.0,Helsinki,11,10.0,10.0,0,0,10.0,1125,1,0.9,Room at Malmi with great location,2,8,42,1.0,100.0,within an hour,105.0,95.0,102,Private room,4.5,9.0,105.0,0.95,11,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Kamppi
