,id,accuracy_rating,allows_children,allows_infants,allows_pets,avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,checkin_rating,city,cleaning_fee,cleanliness_rating,communication_rating,host_verified,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latitude,localized_city,location_rating,longitude,max_nights,min_nights,monthly_price_factor,name,person_capacity,picture_count,price_string,property_type_id,response_rate,response_time,review_count,review_score,reviews_count,room_and_property_type,room_type,room_type_category,space_type,star_rating,value_rating,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,paikkakunnat
30,36196446,10.0,1.0,1.0,0.0,4.88,1.0,1.0,1.0,1,CANCEL_FLEXIBLE,9.0,Helsinki,0,9.0,10.0,0,0,0,0,Private room,60.226659999999995,Helsinki,10.0,25.06331,1125,1,0.0,Good place And safety,2,9,41,1.0,100.0,within an hour,42.0,92.0,27,Private room in apartment,Private room,private_room,Private room,5.0,9.0,42.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Nordsjön kartano
31,34367632,10.0,1.0,1.0,0.0,4.71,1.0,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10.0,Helsinki,38,10.0,10.0,0,0,0,0,Entire apartment,60.16882,Helsinki,10.0,24.93229,1125,2,0.0,Unique luxurious home with sauna in Kamppi Center,4,12,122,1.0,100.0,within an hour,105.0,95.0,21,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5,9.0,105.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Meri-Rastila
32,29644231,10.0,1.0,1.0,0.0,4.95,1.5,1.0,1.0,1,CANCEL_MODERATE,10.0,Helsinki,0,10.0,10.0,0,0,0,1,Entire condominium,60.15691999999999,Helsinki,10.0,24.942510000000002,1125,1,0.8,Jugend-helmi Etelä-Helsingissä,2,16,101,37.0,100.0,within an hour,105.0,95.0,158,Entire condominium,Entire home/apt,entire_home,Entire condominium,5.0,9.0,105.0,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Kluuvi
33,3408263,10.0,1.0,1.0,0.0,4.68,1.0,0.0,1.0,1,CANCEL_MODERATE,10.0,Helsinki,26,10.0,10.0,0,0,0,0,Entire apartment,60.195190000000004,Helsinki,10.0,24.9601,1124,1,0.74,Arty interior in 1900 wooden house,2,9,75,1.0,100.0,within an hour,105.0,95.0,606,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5,9.0,105.0,0.9,0,217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Ullanlinna
34,4459868,10.0,1.0,1.0,0.0,4.75,1.0,0.0,3.0,1,CANCEL_FLEXIBLE,10.0,Helsinki,14,10.0,10.0,0,0,0,0,Entire apartment,60.178580000000004,Helsinki,10.0,24.953229999999998,1125,1,0.8,Cosy Helsinki Inner City Apartment,4,22,95,1.0,100.0,within an hour,105.0,95.0,603,Entire apartment,Entire home/apt,entire_home,Entire apartment,5.0,9.0,105.0,0.9,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Kamppi
35,38727425,10.0,1.0,1.0,0.0,4.84,1.0,1.0,1.0,0,CANCEL_FLEXIBLE,10.0,Helsinki,0,10.0,10.0,0,0,0,1,Private room,60.212830000000004,Helsinki,10.0,25.15161,1125,1,0.0,Nice and cheap bedroom available in Helsinki. ❤,2,6,27,37.0,90.0,within an hour,105.0,95.0,52,Private room in condominium,Private room,private_room,Private room,5.0,9.0,105.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Etu-Töölö
36,39487366,10.0,1.0,1.0,0.0,4.63,1.0,1.0,0.0,1,CANCEL_FLEXIBLE,10.0,Helsinki,4,10.0,10.0,0,0,0,1,Private room,60.20016999999999,Helsinki,10.0,25.119139999999998,28,1,0.0,NEW! Large BUDGET-room  walking from Metro,3,4,28,1.0,100.0,within an hour,105.0,95.0,8,Private room in apartment,Private room,private_room,Private room,4.5,9.0,105.0,0.94,7,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Pihlajisto
37,31606666,10.0,1.0,1.0,0.0,4.74,1.0,1.0,1.0,1,CANCEL_MODERATE,10.0,Helsinki,43,10.0,10.0,0,0,0,0,Entire apartment,60.17283000000001,Helsinki,10.0,24.94356,1125,2,0.0,Business Deluxe Apartment next to Central Station,4,13,129,1.0,100.0,within an hour,105.0,95.0,27,Entire apartment,Entire home/apt,entire_home,Entire apartment,5.0,9.0,105.0,0.0,16,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Itä-Pasila
38,37905256,10.0,1.0,1.0,0.0,3.98,1.0,1.0,1.0,1,CANCEL_MODERATE,10.0,Helsinki,20,10.0,10.0,0,0,0,0,Entire apartment,60.157959999999996,Helsingfors,10.0,24.94623,1125,1,0.0,Home in Ullanlinna,4,6,79,1.0,100.0,within an hour,105.0,95.0,49,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.0,9.0,105.0,0.95,11,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Kamppi
39,42545597,10.0,1.0,1.0,0.0,,1.5,1.0,1.0,1,CANCEL_MODERATE,10.0,Helsinki,38,10.0,10.0,0,0,1,0,Entire condominium,60.16975,Helsinki,10.0,24.9308,1125,2,0.0,Stylish 1BR apartment in Kamppi Center with Sauna,4,16,115,37.0,100.0,within an hour,105.0,95.0,2,Entire condominium,Entire home/apt,entire_home,Entire condominium,,9.0,105.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Vilhonvuori
40,33603361,10.0,1.0,1.0,0.0,4.78,1.0,0.0,3.0,1,CANCEL_MODERATE,10.0,Helsinki,16,10.0,10.0,0,0,0,1,Entire loft,60.1756,Helsingfors,10.0,24.92983,1125,1,0.0,Loft studio in best location!,3,8,89,35.0,100.0,within a few hours,105.0,95.0,113,Entire loft,Entire home/apt,entire_home,Entire loft,5.0,9.0,105.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Kamppi
41,26240541,10.0,1.0,1.0,0.0,4.49,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10.0,Helsinki,5,10.0,10.0,0,0,0,0,Private room,60.23301,Helsinki,10.0,24.99648,1125,1,1.0,Home away from home easy access to city centre,2,11,39,1.0,100.0,within an hour,105.0,95.0,84,Private room in apartment,Private room,private_room,Private room,4.5,9.0,105.0,1.0,11,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Ala-Malmi
42,43030513,10.0,1.0,1.0,0.0,,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,10.0,Helsinki,0,10.0,10.0,0,0,1,0,Private room,60.19888,Helsingfors,10.0,24.93923,1125,1,0.0,"Welcome to our clean , bright place",2,6,26,40.0,100.0,within an hour,105.0,95.0,0,Private room in guesthouse,Private room,private_room,Private room,,9.0,105.0,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Linjat
43,25399185,10.0,1.0,1.0,0.0,4.84,1.0,1.0,0.0,1,CANCEL_MODERATE,10.0,Helsinki,27,10.0,10.0,0,0,0,1,Entire apartment,60.16679,Helsingfors,10.0,24.92989,1125,1,0.0,"Centrally located, spacious studio with park view",4,5,96,1.0,100.0,within a few hours,105.0,95.0,128,Entire apartment,Entire home/apt,entire_home,Entire apartment,5.0,9.0,105.0,0.9,16,217,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Herttoniemenranta
44,41781809,10.0,1.0,1.0,0.0,,4.0,1.0,2.0,1,CANCEL_FLEXIBLE,10.0,Helsinki,0,10.0,10.0,0,0,0,0,Hostel room,60.17853,Helsingfors,10.0,24.95962,1125,1,0.0,2-х местный. №1. · Hotel-hostel INNTOURIST in the CENTER of Helsinki,2,17,55,45.0,100.0,within an hour,105.0,95.0,0,Private room in hostel,Private room,private_room,Hostel room,,9.0,105.0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Kumpula
45,17834020,10.0,1.0,1.0,0.0,4.55,0.5,0.0,1.0,1,CANCEL_FLEXIBLE,10.0,Helsinki,11,10.0,10.0,0,0,0,0,Entire apartment,60.164919999999995,Helsinki,10.0,24.93141,1125,1,0.85,"Disinfected well, small Kalevankatu studio",3,19,107,1.0,100.0,within an hour,105.0,95.0,326,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5,9.0,105.0,0.9,11,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Hernesaari
